record_ID;archipelago;lat;first_arrival_BP;XV_arrival;DEPTH_numeric;TIME_BP;K;Fe;Sr;N;Si;Ca;Ti;V;Mn;Fe;Cl;Sr;Zr
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;5674.6;816.734;7684;62334;37120;54463;3110;2321;264401;5594;5130;5931
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;5735.4;824.972;7539;46928;42069;48004;2650;2820;251573;5213;7434;6619
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;5795.4;833.096;5991;47445;36200;45412;2542;2719;205662;5384;5411;5578
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;5855.4;841.226;6237;53384;32562;45348;2749;2899;237868;5350;4593;5156
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;5915.4;849.352;5501;38942;39116;51784;2568;4089;267096;6096;6729;6189
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;5976.2;857.588;4015;39376;25187;35670;2312;2367;184971;5186;4351;4909
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6036.2;865.716;8083;48201;38119;58292;3001;2894;284496;5762;5482;6780
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6096.2;873.846;5930;45529;33864;46282;2613;2600;221071;5525;5219;5700
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6156.2;881.968;4355;38248;31281;39953;2432;2773;207075;5152;5486;5170
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6217;890.2;6025;41162;41178;52000;2792;3990;264306;5762;6652;5929
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6277;898.33;2217;28825;22191;25567;1897;2844;177485;4735;5313;4680
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6337;906.46;4924;40559;33186;40875;2310;2809;204520;5862;5082;4889
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6397;914.59;6151;34508;32242;55155;2713;3659;259389;6021;5184;5640
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6457.8;922.822;10001;46074;54780;74153;3628;9322;380082;6887;6995;6578
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6522.2;926.494372;2521;29311;25499;26438;1846;3015;168838;5567;5143;3992
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6570.2;932.358;3801;32711;28161;36282;2298;3076;217684;5199;5741;5278
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6630.2;940.486;1325;27110;15843;17278;1817;2451;111505;0;4646;3790
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6683.8;947.744;2624;28968;24619;27432;1727;2685;183053;3972;7201;5038
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6743.8;955.872;5760;39870;36482;46977;2696;3243;206881;4805;5100;4932
